sentence,IOB,tokens,aspect,position,sentiment,probs,confidence
"Hello . I am pleased to inform you that this phone has achieved excellent results . This phone , with its 3GB storage capacity , has made it incredibly popular among users . The fingerprint sensor works at the highest speed and can save up to three fingerprints . This phone also features a fullHD display that showcases stunning images . Unfortunately , the battery is not replaceable as it is not designed for replacement . In my opinion , there is no need to change the battery . Many of you are wondering what to do when the phone is lagging . Please do not worry , as this phone does not lag . I hope I can be of assistance to you .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Hello', '.', 'I', 'am', 'pleased', 'to', 'inform', 'you', 'that', 'this', 'phone', 'has', 'achieved', 'excellent', 'results', '.', 'This', 'phone', ',', 'with', 'its', '3GB', 'storage', 'capacity', ',', 'has', 'made', 'it', 'incredibly', 'popular', 'among', 'users', '.', 'The', 'fingerprint', 'sensor', 'works', 'at', 'the', 'highest', 'speed', 'and', 'can', 'save', 'up', 'to', 'three', 'fingerprints', '.', 'This', 'phone', 'also', 'features', 'a', 'fullHD', 'display', 'that', 'showcases', 'stunning', 'images', '.', 'Unfortunately', ',', 'the', 'battery', 'is', 'not', 'replaceable', 'as', 'it', 'is', 'not', 'designed', 'for', 'replacement', '.', 'In', 'my', 'opinion', ',', 'there', 'is', 'no', 'need', 'to', 'change', 'the', 'battery', '.', 'Many', 'of', 'you', 'are', 'wondering', 'what', 'to', 'do', 'when', 'the', 'phone', 'is', 'lagging', '.', 'Please', 'do', 'not', 'worry', ',', 'as', 'this', 'phone', 'does', 'not', 'lag', '.', 'I', 'hope', 'I', 'can', 'be', 'of', 'assistance', 'to', 'you', '.']","['storage capacity', 'fingerprint sensor', 'display', 'battery']","[[22, 23], [34, 35], [55], [64]]","['Positive', 'Positive', 'Positive', 'Negative']","[[0.08059299737215042, 0.00034754606895148754, 0.9190595149993896], [0.03672347962856293, 0.00035108585143461823, 0.962925374507904], [0.08560440689325333, 0.000952287286054343, 0.913443386554718], [0.9414207935333252, 0.011869118548929691, 0.04671012982726097]]","[0.9191, 0.9629, 0.9134, 0.9414]"
"I ' ve had this phone for several months . It ' s good , but if it had 32GB storage , it would be even better . With the update , the speed has increased and the user experience is smoother , and some new features have also been added .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['I', ""'"", 've', 'had', 'this', 'phone', 'for', 'several', 'months', '.', 'It', ""'"", 's', 'good', ',', 'but', 'if', 'it', 'had', '32GB', 'storage', ',', 'it', 'would', 'be', 'even', 'better', '.', 'With', 'the', 'update', ',', 'the', 'speed', 'has', 'increased', 'and', 'the', 'user', 'experience', 'is', 'smoother', ',', 'and', 'some', 'new', 'features', 'have', 'also', 'been', 'added', '.']","['storage', 'speed', 'user experience']","[[20], [33], [38, 39]]","['Negative', 'Positive', 'Positive']","[[0.8190029859542847, 0.1406470239162445, 0.04034993425011635], [0.001081125345081091, 0.00038304500048980117, 0.9985358715057373], [0.00030259392224252224, 0.0002417470677755773, 0.9994556307792664]]","[0.819, 0.9985, 0.9995]"
"All opinions are from a consultant , not from a brand advocate . This phone is excellent and of high quality . Its battery is one of its most important features , but . . . I don ' t know why they used a low - end processor in this phone when similar phones in this color are more expensive . However , in terms of battery life , this phone is good . It ' s strange that for this price , the camera doesn ' t have a flash or dual cameras , considering the high price of the phone . Given the price , this phone is positioned in the mat9 range , and honestly , there ' s nothing remarkable about it . If a more reasonable price was considered , it would have been excellent value for money . Too bad you studied my opinion . In the end , you need to take responsibility for your own opinions and try to use your own judgment . Because people who read your opinions are hoping for your honest words before they buy the phone and spend their money .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['All', 'opinions', 'are', 'from', 'a', 'consultant', ',', 'not', 'from', 'a', 'brand', 'advocate', '.', 'This', 'phone', 'is', 'excellent', 'and', 'of', 'high', 'quality', '.', 'Its', 'battery', 'is', 'one', 'of', 'its', 'most', 'important', 'features', ',', 'but', '.', '.', '.', 'I', 'don', ""'"", 't', 'know', 'why', 'they', 'used', 'a', 'low', '-', 'end', 'processor', 'in', 'this', 'phone', 'when', 'similar', 'phones', 'in', 'this', 'color', 'are', 'more', 'expensive', '.', 'However', ',', 'in', 'terms', 'of', 'battery', 'life', ',', 'this', 'phone', 'is', 'good', '.', 'It', ""'"", 's', 'strange', 'that', 'for', 'this', 'price', ',', 'the', 'camera', 'doesn', ""'"", 't', 'have', 'a', 'flash', 'or', 'dual', 'cameras', ',', 'considering', 'the', 'high', 'price', 'of', 'the', 'phone', '.', 'Given', 'the', 'price', ',', 'this', 'phone', 'is', 'positioned', 'in', 'the', 'mat9', 'range', ',', 'and', 'honestly', ',', 'there', ""'"", 's', 'nothing', 'remarkable', 'about', 'it', '.', 'If', 'a', 'more', 'reasonable', 'price', 'was', 'considered', ',', 'it', 'would', 'have', 'been', 'excellent', 'value', 'for', 'money', '.', 'Too', 'bad', 'you', 'studied', 'my', 'opinion', '.', 'In', 'the', 'end', ',', 'you', 'need', 'to', 'take', 'responsibility', 'for', 'your', 'own', 'opinions', 'and', 'try', 'to', 'use', 'your', 'own', 'judgment', '.', 'Because', 'people', 'who', 'read', 'your', 'opinions', 'are', 'hoping', 'for', 'your', 'honest', 'words', 'before', 'they', 'buy', 'the', 'phone', 'and', 'spend', 'their', 'money', '.']","['battery', 'processor']","[[23], [48]]","['Positive', 'Negative']","[[0.2065642774105072, 0.0008438801160082221, 0.79259192943573], [0.9785653948783875, 0.004407077562063932, 0.017027473077178]]","[0.7926, 0.9786]"
"My experiments have been in progress while using the device in the Parkton area . I hope you can fix the cartoon . The device has a good size and it ' s easy to place the dishes inside . With a little patience and calmness , you can close the cover and lock it . The cable is too short and will probably cause you problems . The device ' s quality is not good and its electrical components are also not reliable . Regarding safety measures , everything seems to be in place and the device is equipped with an automatic cut - off system to prevent burning . The only way to completely turn it off is to unplug it from the outlet . Unfortunately , there are several plastic parts inside the device that are not properly assembled . After each use , when the device heats up and cools down , these parts become loose or broken and fall out . The device has a removable and washable tray which is important . Be sure to lubricate the tray with a cotton swab and oil before using the device to increase its lifespan and prevent rust on the dishes . When you first start the device , a little smoke is normal . Don ' t worry about it . Open the device until the smoke has cleared . Then put your sandwiches in . Depending on how many sandwiches you want to toast , it will take between five to ten minutes . I have a lot of experience working with sandwich makers , so I can offer you my expertise . I haven ' t encountered any sandwich makers that have Teflon covers until now . To reduce costs , they often use non - stick Teflon , which unfortunately wears out quickly and can also be harmful to food . For this reason , I always take the trays to professional Teflon repair centers from the beginning . If you do this from the start , you can rest assured that the Teflon will be durable and you can use the device for many years . Keep in mind that these devices are Chinese - made and their construction quality is not high . So don ' t put too much pressure on them . After making a test batch of sandwiches , I felt relaxed . The handles of the device have good quality , but the screws are very tight and often break when closing the handles . Be sure to wipe the dishes clean before unplugging the device while it ' s still warm . This will make it easier to remove any food residue . Once the device is completely cool , you can easily remove the dishes and wash them with a soft sponge and water .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '[SEP]', '[SEP]']","['My', 'experiments', 'have', 'been', 'in', 'progress', 'while', 'using', 'the', 'device', 'in', 'the', 'Parkton', 'area', '.', 'I', 'hope', 'you', 'can', 'fix', 'the', 'cartoon', '.', 'The', 'device', 'has', 'a', 'good', 'size', 'and', 'it', ""'"", 's', 'easy', 'to', 'place', 'the', 'dishes', 'inside', '.', 'With', 'a', 'little', 'patience', 'and', 'calmness', ',', 'you', 'can', 'close', 'the', 'cover', 'and', 'lock', 'it', '.', 'The', 'cable', 'is', 'too', 'short', 'and', 'will', 'probably', 'cause', 'you', 'problems', '.', 'The', 'device', ""'"", 's', 'quality', 'is', 'not', 'good', 'and', 'its', 'electrical', 'components', 'are', 'also', 'not', 'reliable', '.', 'Regarding', 'safety', 'measures', ',', 'everything', 'seems', 'to', 'be', 'in', 'place', 'and', 'the', 'device', 'is', 'equipped', 'with', 'an', 'automatic', 'cut', '-', 'off', 'system', 'to', 'prevent', 'burning', '.', 'The', 'only', 'way', 'to', 'completely', 'turn', 'it', 'off', 'is', 'to', 'unplug', 'it', 'from', 'the', 'outlet', '.', 'Unfortunately', ',', 'there', 'are', 'several', 'plastic', 'parts', 'inside', 'the', 'device', 'that', 'are', 'not', 'properly', 'assembled', '.', 'After', 'each', 'use', ',', 'when', 'the', 'device', 'heats', 'up', 'and', 'cools', 'down', ',', 'these', 'parts', 'become', 'loose', 'or', 'broken', 'and', 'fall', 'out', '.', 'The', 'device', 'has', 'a', 'removable', 'and', 'washable', 'tray', 'which', 'is', 'important', '.', 'Be', 'sure', 'to', 'lubricate', 'the', 'tray', 'with', 'a', 'cotton', 'swab', 'and', 'oil', 'before', 'using', 'the', 'device', 'to', 'increase', 'its', 'lifespan', 'and', 'prevent', 'rust', 'on', 'the', 'dishes', '.', 'When', 'you', 'first', 'start', 'the', 'device', ',', 'a', 'little', 'smoke', 'is', 'normal', '.', 'Don', ""'"", 't', 'worry', 'about', 'it', '.', 'Open', 'the', 'device', 'until', 'the', 'smoke', 'has', 'cleared', '.', 'Then', 'put', 'your', 'sandwiches', 'in', '.', 'Depending', 'on', 'how', 'many', 'sandwiches', 'you', 'want', 'to', 'toast', ',', 'it', 'will', 'take', 'between', 'five', 'to', 'ten', 'minutes', '.', 'I', 'have', 'a', 'lot', 'of', 'experience', 'working', 'with', 'sandwich', 'makers', ',', 'so', 'I', 'can', 'offer', 'you', 'my', 'expertise', '.', 'I', 'haven', ""'"", 't', 'encountered', 'any', 'sandwich', 'makers', 'that', 'have', 'Teflon', 'covers', 'until', 'now', '.', 'To', 'reduce', 'costs', ',', 'they', 'often', 'use', 'non', '-', 'stick', 'Teflon', ',', 'which', 'unfortunately', 'wears', 'out', 'quickly', 'and', 'can', 'also', 'be', 'harmful', 'to', 'food', '.', 'For', 'this', 'reason', ',', 'I', 'always', 'take', 'the', 'trays', 'to', 'professional', 'Teflon', 'repair', 'centers', 'from', 'the', 'beginning', '.', 'If', 'you', 'do', 'this', 'from', 'the', 'start', ',', 'you', 'can', 'rest', 'assured', 'that', 'the', 'Teflon', 'will', 'be', 'durable', 'and', 'you', 'can', 'use', 'the', 'device', 'for', 'many', 'years', '.', 'Keep', 'in', 'mind', 'that', 'these', 'devices', 'are', 'Chinese', '-', 'made', 'and', 'their', 'construction', 'quality', 'is', 'not', 'high', '.', 'So', 'don', ""'"", 't', 'put', 'too', 'much', 'pressure', 'on', 'them', '.', 'After', 'making', 'a', 'test', 'batch', 'of', 'sandwiches', ',', 'I', 'felt', 'relaxed', '.', 'The', 'handles', 'of', 'the', 'device', 'have', 'good', 'quality', ',', 'but', 'the', 'screws', 'are', 'very', 'tight', 'and', 'often', 'break', 'when', 'closing', 'the', 'handles', '.', 'Be', 'sure', 'to', 'wipe', 'the', 'dishes', 'clean', 'before', 'unplugging', 'the', 'device', 'while', 'it', ""'"", 's', 'still', 'warm', '.', 'This', 'will', 'make', 'it', 'easier', 'to', 'remove', 'any', 'food', 'residue', '.', 'Once', 'the', 'device', 'is', 'completely', 'cool', ',', 'you', 'can', 'easily', 'remove', 'the', 'dishes', 'and', 'wash', 'them', 'with', 'a', 'soft', 'sponge', 'and', 'water', '.']",[],[],[],[],[]
"Please read carefully , as there may be a change in selection . I bought this device from the market . On the carton and the device itself , it was written that it was manufactured in Holland . Honestly , before buying it , I had some doubts because some people had mentioned problems with it . Maybe it wasn ' t compatible with certain faces , but it worked well for me . After the adjustments , I felt completely comfortable and my eyebrows were perfectly arched . After taking it out of the packaging , I charged it for an hour and then used it . As for performance , it ' s significantly better than before the adjustment . . . 1 - Before the adjustment , my eyebrows were significantly shorter . 2 - As per the catalog , the device rotates and moves the photos . 3 - I used the device in reverse mode for the neck area and moved the photos in a circular fashion . 4 - I used the device in reverse mode on the brow line and did several consecutive passes in each row . I did all of this with completely dry skin . If I had used it with wet skin , I would have tried it and shared my experience with you . Just remember to open the bottom cover after the adjustment and wash the device with water , then open the bottom cover and remove the water . Keep the bottom cover and bottom cover open until the device is completely dry .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Please', 'read', 'carefully', ',', 'as', 'there', 'may', 'be', 'a', 'change', 'in', 'selection', '.', 'I', 'bought', 'this', 'device', 'from', 'the', 'market', '.', 'On', 'the', 'carton', 'and', 'the', 'device', 'itself', ',', 'it', 'was', 'written', 'that', 'it', 'was', 'manufactured', 'in', 'Holland', '.', 'Honestly', ',', 'before', 'buying', 'it', ',', 'I', 'had', 'some', 'doubts', 'because', 'some', 'people', 'had', 'mentioned', 'problems', 'with', 'it', '.', 'Maybe', 'it', 'wasn', ""'"", 't', 'compatible', 'with', 'certain', 'faces', ',', 'but', 'it', 'worked', 'well', 'for', 'me', '.', 'After', 'the', 'adjustments', ',', 'I', 'felt', 'completely', 'comfortable', 'and', 'my', 'eyebrows', 'were', 'perfectly', 'arched', '.', 'After', 'taking', 'it', 'out', 'of', 'the', 'packaging', ',', 'I', 'charged', 'it', 'for', 'an', 'hour', 'and', 'then', 'used', 'it', '.', 'As', 'for', 'performance', ',', 'it', ""'"", 's', 'significantly', 'better', 'than', 'before', 'the', 'adjustment', '.', '.', '.', '1', '-', 'Before', 'the', 'adjustment', ',', 'my', 'eyebrows', 'were', 'significantly', 'shorter', '.', '2', '-', 'As', 'per', 'the', 'catalog', ',', 'the', 'device', 'rotates', 'and', 'moves', 'the', 'photos', '.', '3', '-', 'I', 'used', 'the', 'device', 'in', 'reverse', 'mode', 'for', 'the', 'neck', 'area', 'and', 'moved', 'the', 'photos', 'in', 'a', 'circular', 'fashion', '.', '4', '-', 'I', 'used', 'the', 'device', 'in', 'reverse', 'mode', 'on', 'the', 'brow', 'line', 'and', 'did', 'several', 'consecutive', 'passes', 'in', 'each', 'row', '.', 'I', 'did', 'all', 'of', 'this', 'with', 'completely', 'dry', 'skin', '.', 'If', 'I', 'had', 'used', 'it', 'with', 'wet', 'skin', ',', 'I', 'would', 'have', 'tried', 'it', 'and', 'shared', 'my', 'experience', 'with', 'you', '.', 'Just', 'remember', 'to', 'open', 'the', 'bottom', 'cover', 'after', 'the', 'adjustment', 'and', 'wash', 'the', 'device', 'with', 'water', ',', 'then', 'open', 'the', 'bottom', 'cover', 'and', 'remove', 'the', 'water', '.', 'Keep', 'the', 'bottom', 'cover', 'and', 'bottom', 'cover', 'open', 'until', 'the', 'device', 'is', 'completely', 'dry', '.']",[],[],[],[],[]
"The product has a gray color . It has a metal body with a good quality and design . The size is almost equal to the size of the photo . It has a good sound box . The speaker is open back , which allows some sound to leak out , but not too much to disturb others . The sound quality is appropriate for the price , with a good bass range and a slightly lower treble .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'B-ASP', 'O']","['The', 'product', 'has', 'a', 'gray', 'color', '.', 'It', 'has', 'a', 'metal', 'body', 'with', 'a', 'good', 'quality', 'and', 'design', '.', 'The', 'size', 'is', 'almost', 'equal', 'to', 'the', 'size', 'of', 'the', 'photo', '.', 'It', 'has', 'a', 'good', 'sound', 'box', '.', 'The', 'speaker', 'is', 'open', 'back', ',', 'which', 'allows', 'some', 'sound', 'to', 'leak', 'out', ',', 'but', 'not', 'too', 'much', 'to', 'disturb', 'others', '.', 'The', 'sound', 'quality', 'is', 'appropriate', 'for', 'the', 'price', ',', 'with', 'a', 'good', 'bass', 'range', 'and', 'a', 'slightly', 'lower', 'treble', '.']","['design', 'sound box', 'bass range', 'treble']","[[17], [35, 36], [72, 73], [78]]","['Positive', 'Positive', 'Positive', 'Positive']","[[0.00027754565235227346, 0.0009705267148092389, 0.9987518787384033], [0.0008038290543481708, 0.00027757632778957486, 0.9989186525344849], [0.00028004488558508456, 0.0004250092024449259, 0.9992948770523071], [0.00506900530308485, 0.002624865621328354, 0.9923060536384583]]","[0.9988, 0.9989, 0.9993, 0.9923]"
"Battery is good . Signal is weak . Average sound clarity . High sound level , female voices and high - pitched sounds .","['B-ASP', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Battery', 'is', 'good', '.', 'Signal', 'is', 'weak', '.', 'Average', 'sound', 'clarity', '.', 'High', 'sound', 'level', ',', 'female', 'voices', 'and', 'high', '-', 'pitched', 'sounds', '.']","['Battery', 'Signal']","[[0], [4]]","['Positive', 'Negative']","[[0.3060753643512726, 0.006362497806549072, 0.687562108039856], [0.8439009785652161, 0.15467782318592072, 0.0014212181558832526]]","[0.6876, 0.8439]"
Audio and bass quality is good . I haven ' t had any problems with it in a year .,"['B-ASP', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Audio', 'and', 'bass', 'quality', 'is', 'good', '.', 'I', 'haven', ""'"", 't', 'had', 'any', 'problems', 'with', 'it', 'in', 'a', 'year', '.']","['Audio', 'bass quality']","[[0], [2, 3]]","['Positive', 'Positive']","[[0.0001905765093397349, 0.0003321327385492623, 0.999477207660675], [0.00020369964477140456, 0.0002575230901129544, 0.999538779258728]]","[0.9995, 0.9995]"
"After eight months of continuous use , the mouse ' s scroll wheel has malfunctioned and the page scrolls up and down uncontrollably ! In these eight months , I have only replaced the battery once . The average battery consumption is quite high , probably due to the light . If the mouse ' s scroll wheel were improved in newer models , it would be one of the best options .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['After', 'eight', 'months', 'of', 'continuous', 'use', ',', 'the', 'mouse', ""'"", 's', 'scroll', 'wheel', 'has', 'malfunctioned', 'and', 'the', 'page', 'scrolls', 'up', 'and', 'down', 'uncontrollably', '!', 'In', 'these', 'eight', 'months', ',', 'I', 'have', 'only', 'replaced', 'the', 'battery', 'once', '.', 'The', 'average', 'battery', 'consumption', 'is', 'quite', 'high', ',', 'probably', 'due', 'to', 'the', 'light', '.', 'If', 'the', 'mouse', ""'"", 's', 'scroll', 'wheel', 'were', 'improved', 'in', 'newer', 'models', ',', 'it', 'would', 'be', 'one', 'of', 'the', 'best', 'options', '.']","['mouse', 'scroll wheel', 'battery', 'battery']","[[8], [11, 12], [34], [39]]","['Negative', 'Negative', 'Negative', 'Negative']","[[0.9848695993423462, 0.014669021591544151, 0.0004614285135176033], [0.9956035614013672, 0.004099639132618904, 0.0002967878826893866], [0.6350264549255371, 0.36259135603904724, 0.0023822099901735783], [0.6350264549255371, 0.36259135603904724, 0.0023822099901735783]]","[0.9849, 0.9956, 0.635, 0.635]"
"The color on the lip balm in the photo is not the same as the actual one . It ' s shiny and soft , but not matte .","['O', 'B-ASP', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['The', 'color', 'on', 'the', 'lip', 'balm', 'in', 'the', 'photo', 'is', 'not', 'the', 'same', 'as', 'the', 'actual', 'one', '.', 'It', ""'"", 's', 'shiny', 'and', 'soft', ',', 'but', 'not', 'matte', '.']","['color', 'lip']","[[1], [4]]","['Negative', 'Negative']","[[0.9881590008735657, 0.011470187455415726, 0.00037078000605106354], [0.9862869381904602, 0.013344219885766506, 0.00036885173176415265]]","[0.9882, 0.9863]"
